id_old,id,first,educ,educt,hrwage,lwage,age,white,female,selfemp,uncov,married,tenure,nsibs,daded,momed,educt_t,educ_t,lwage_t,age2,twoplus,aeduct,dlwage,deduc,deduct,dceduc,dceduct,cseduc,cseduct,dcsumint,dcsuminz,duncov,dmaried,dtenure,pedhs,pedcl,dcpedhs,dcpedhst,dcpedcl,dcpedclt
6,6,0,14,15,15.68156719,2.75237608,29.66940308,1,0,0,0,1,1.25,3,16,15,14,13,3.098949432,880.2734985,1,14,-0.346573353,1,-1,-1,1,14.5,13.5,-14.5,13.5,0,0.5,-0.75,0,1,0,0,-1,1
6,6,1,13,14,25.6769352,3.098949432,29.66940308,1,0,0,0,0.5,2,3,16,15,15,14,2.75237608,880.2734985,1,14,0.346573353,-1,1,-1,1,13.5,14.5,-13.5,14.5,0,-0.5,0.75,0,1,0,0,-1,1
7,7,0,12,12,7.879538536,2.000337124,47.8028717,1,1,1,0,1,27,2,12,12,12,12,2.232490063,2285.114502,1,12,-0.232152939,0,0,0,0,12,12,0,0,0,0,2,1,0,0,0,0,0
7,7,1,12,12,9.869573593,2.232490063,47.8028717,1,1,1,0,1,25,2,12,12,12,12,2.000337124,2285.114502,1,12,0.232152939,0,0,0,0,12,12,0,0,0,0,-2,1,0,0,0,0,0
8,8,1,12,14,18.30121231,2.906967402,51.90142822,1,0,0,1,1,25,,12,14,12,13,2.855215549,2693.758301,0,13.5,0.051751852,-1,-2,-2,-1,13,12.5,-26,-12.5,0,0,9,1,0,-2,-1,0,0
8,8,0,13,12,17.37818336,2.855215549,51.90142822,1,0,0,1,1,16,,12,12,14,12,2.906967402,2693.758301,0,12,-0.051751852,1,2,1,2,12.5,13,12.5,26,0,0,-9,1,0,1,2,0,0
9,9,1,12,12,12.73127747,2.544061661,36.07666016,1,0,0,1,1,9,,12,12,12,12,2.831743717,1301.525391,0,12,-0.287682056,0,0,0,0,12,12,0,0,0,0,-5,1,0,0,0,0,0
9,9,0,12,12,16.97503662,2.831743717,36.07666016,1,0,0,1,1,14,,12,12,12,12,2.544061661,1301.525391,0,12,0.287682056,0,0,0,0,12,12,0,0,0,0,5,1,0,0,0,0,0
10,10,0,17,18,16.57718468,2.808027267,48.12045288,1,1,0,0,1,1,,17,16,16,18,3.278030872,2315.577881,0,18,-0.470003605,-1,-2,-1,-2,17.5,17,-17.5,-34,0,1,-7,0,1,0,0,-1,-2
10,10,1,18,16,26.52349472,3.278030872,48.12045288,1,1,1,0,0,8,,18,16,18,17,2.808027267,2315.577881,0,16.5,0.470003605,1,2,2,1,17,17.5,34,17.5,0,-1,7,0,1,0,0,2,1
11,11,1,12,14,7.628156662,2.031846285,33.95481873,1,1,0,1,1,,,12,11,12,14,2.337447643,1152.929688,0,14,-0.305601358,-2,-2,-2,-2,13,13,-26,-26,1,0,,1,0,-2,-2,0,0
11,11,0,14,12,10.35477257,2.337447643,33.95481873,1,1,0,0,1,12,,12,11,14,12,2.031846285,1152.929688,0,12,0.305601358,2,2,2,2,13,13,26,26,-1,0,,1,0,2,2,0,0
12,12,0,16,16,4.684009552,1.482320547,28.0586338,1,1,1,0,0,0.410999984,4,12,14,16,16,1.981605053,787.2869263,1,16,-0.499284506,0,0,0,0,16,16,0,0,0,0,-0.305666655,0,1,0,0,0,0
12,12,1,16,16,7.396773338,1.981605053,28.0586338,1,1,1,0,0,0.716666639,4,12,14,16,16,1.482320547,787.2869263,1,16,0.499284506,0,0,0,0,16,16,0,0,0,0,0.305666655,0,1,0,0,0,0
13,13,1,14,14,15.91409683,2.767205238,39.34017944,1,0,0,1,1,18,,10,12,12,12,2.138596535,1547.649658,0,13,0.628608704,2,-2,0,0,14,12,0,0,1,0,15,0,0,0,0,0,0
13,13,0,12,12,8.487518311,2.138596535,39.34017944,1,0,0,0,1,3,,8,12,14,14,2.767205238,1547.649658,0,13,-0.628608704,-2,2,0,0,12,14,0,0,-1,0,-15,0,0,0,0,0,0
14,14,0,12.66666698,12.66666698,20.60405731,2.968649864,39.17750168,1,0,0,0,0,15.53332996,1,12,12,12.33333302,12.33333302,2.765561342,1534.876587,1,12.5,0.203088522,0.333333969,-0.333333969,0,0,12.66666698,12.33333302,0,0,0,-1,0.199996948,1,0,0,0,0,0
14,14,1,12.33333302,12.33333302,17.70816612,2.765561342,39.17750168,1,0,0,0,1,15.33333302,2,12,12,12.66666698,12.66666698,2.968649864,1534.876587,1,12.5,-0.203088522,-0.333333969,0.333333969,0,0,12.33333302,12.66666698,0,0,0,1,-0.199996948,1,0,0,0,0,0
15,15,1,17,16,12.10855198,2.493911982,23.68240356,1,1,0,1,0,0.5,,18,18,17,16,2.872565746,560.8562622,0,16,-0.378653765,1,1,1,1,16.5,16.5,16.5,16.5,1,0,-0.5,0,1,0,0,1,1
15,15,0,16,17,17.68232918,2.872565746,23.68240356,1,1,0,0,0,1,,18,18,16,17,2.493911982,560.8562622,0,17,0.378653765,-1,-1,-1,-1,16.5,16.5,-16.5,-16.5,-1,0,0.5,0,1,0,0,-1,-1
16,16,1,12,14,15.44728374,2.737433195,35.66323853,1,1,0,1,0,6,,12,12,12,15,2.658877373,1271.866577,0,14.5,0.078555822,-3,-2,-2,-3,13,13.5,-26,-40.5,1,0,-4,1,0,-2,-3,0,0
16,16,0,15,12,14.2802496,2.658877373,35.66323853,1,1,0,0,0,10,,12,12,14,12,2.737433195,1271.866577,0,12,-0.078555822,3,2,3,2,13.5,13,40.5,26,-1,0,4,1,0,3,2,0,0
17,17,1,14.5,14.5,9.280198097,2.227464914,21.67487335,0,0,0,0,0,1.125,8,13,12,14.5,14.5,2.019947529,469.8001404,1,14.5,0.207517385,0,0,0,0,14.5,14.5,0,0,0,0,0.891499996,1,0,0,0,0,0
17,17,0,14.5,14.5,7.567797661,2.019947529,21.67487335,0,0,0,0,0,0.233500004,8,13,12.5,14.5,14.5,2.227464914,469.8001404,1,14.5,-0.207517385,0,0,0,0,14.5,14.5,0,0,0,0,-0.891499996,1,0,0,0,0,0
18,18,0,12,12,17.39940643,2.856436014,33.63996887,1,1,0,1,1,8,,12,12,12,12,2.361740112,1131.647461,0,12,0.494695902,0,0,0,0,12,12,0,0,1,1,6.5,1,0,0,0,0,0
18,18,1,12,12,10.60939789,2.361740112,33.63996887,1,1,0,0,0,1.5,,12,10,12,12,2.856436014,1131.647461,0,12,-0.494695902,0,0,0,0,12,12,0,0,-1,-1,-6.5,1,0,0,0,0,0
19,19,1,14,14,7.744860649,2.047029495,24.64065552,1,1,0,1,0,5,,12,12,16,16,2.544061661,607.1619263,0,15,-0.497032166,-2,2,0,0,14,16,0,0,1,0,1,1,0,0,0,0,0
19,19,0,16,16,12.73127747,2.544061661,24.64065552,1,1,0,0,0,4,,12,12,14,14,2.047029495,607.1619263,0,15,0.497032166,2,-2,0,0,16,14,0,0,-1,0,-1,1,0,0,0,0,0
20,20,1,12,12,7.585719109,2.026267529,46.36549377,1,1,0,0,1,5,,8,11,12,12,1.859213352,2149.759033,0,12,0.167054176,0,0,0,0,12,12,0,0,0,0,1,0,0,0,0,0,0
20,20,0,12,12,6.418685913,1.859213352,46.36549377,1,1,0,0,1,4,,10,11,12,12,2.026267529,2149.759033,0,12,-0.167054176,0,0,0,0,12,12,0,0,0,0,-1,0,0,0,0,0,0
21,21,0,16,18,6.743759155,1.874017239,44.42744446,1,0,0,0,1,0.899999976,3,12,12,16,18,3.127169847,1973.797852,1,18,-1.253152609,-2,-2,-2,-2,17,17,-34,-34,-0.5,0,-2.099999905,1,0,-2,-2,0,0
21,21,1,18,16,25.24747467,3.127169847,44.42744446,1,0,0,0.5,1,3,3,12,11,18,16,1.874017239,1973.797852,1,16,1.253152609,2,2,2,2,17,17,34,34,0.5,0,2.099999905,1,0,2,2,0,0
22,22,0,12,12,39.78524399,3.683495998,61.87268066,0,0,0,1,1,26,,8,6,12,12,1.668593049,3828.228516,0,12,2.014903069,0,0,0,0,12,12,0,0,1,0,25,0,0,0,0,0,0
22,22,1,12,12,5.304698944,1.668593049,61.87268066,0,0,1,0,1,1,,8,5,12,12,3.683495998,3828.228516,0,12,-2.014903069,0,0,0,0,12,12,0,0,-1,0,-25,0,0,0,0,0,0
23,23,0,16,16,5.304698944,1.668593049,24.11772156,1,0,1,0,0,0.5,,12,12,16,16,3.172670364,581.6644897,0,16,-1.504077315,0,0,0,0,16,16,0,0,-1,0,-1.5,1,0,0,0,0,0
23,23,1,16,16,23.87114525,3.172670364,24.11772156,1,0,0,1,0,2,,12,12,16,16,1.668593049,581.6644897,0,16,1.504077315,0,0,0,0,16,16,0,0,1,0,1.5,1,0,0,0,0,0
24,24,1,14,11,12.73127747,2.544061661,32.59410095,1,0,0,0,1,0.5,,12,10,12,11,2.457050323,1062.375366,0,11,0.087011337,3,1,3,1,12.5,11.5,37.5,11.5,-1,1,-1.5,1,0,3,1,0,0
24,24,0,11,12,11.67033768,2.457050323,32.59410095,1,0,0,1,0,2,,14,11,11,14,2.544061661,1062.375366,0,13,-0.087011337,-3,-1,-1,-3,11.5,12.5,-11.5,-37.5,1,-1,1.5,1,0,-1,-3,0,0
25,25,1,12,12,17.33047676,2.852288246,54.28450394,1,0,0,1,0,29.33333397,6.5,12.33333302,14,12,12,2.53493762,2946.807373,1,12,0.317350626,0,0,0,0,12,12,0,0,0,0,23.63333511,1,0,0,0,0,0
25,25,0,12,12,12.61599731,2.53493762,54.28450394,1,0,0,1,0,5.699999809,6.5,12,12.33333302,12,12,2.852288246,2946.807373,1,12,-0.317350626,0,0,0,0,12,12,0,0,0,0,-23.63333511,1,0,0,0,0,0
26,26,1,12,16,16.44456673,2.799995184,39.61943054,0,0,0,0,0,1,,8,8,12,18,3.278030872,1569.699219,0,17,-0.478035688,-6,-4,-4,-6,14,15,-56,-90,0,0,-1,0,0,0,0,0,0
26,26,0,18,12,26.52349472,3.278030872,39.61943054,0,0,0,0,0,2,,6,6,16,12,2.799995184,1569.699219,0,12,0.478035688,6,4,6,4,15,14,90,56,0,0,1,0,0,0,0,0,0
27,27,1,16,16,20.72972488,3.031568766,22.07254028,0,0,0,0,0,0.25,,12,12,16,16,1.997494817,487.1970215,0,16,1.034073949,0,0,0,0,16,16,0,0,0,0,0.083000004,1,0,0,0,0,0
27,27,0,16,16,7.370568275,1.997494817,22.07254028,0,0,0,0,0,0.166999996,,12,14,16,16,3.031568766,487.1970215,0,16,-1.034073949,0,0,0,0,16,16,0,0,0,0,-0.083000004,1,0,0,0,0,0
28,28,1,12,12,11.94786072,2.480442524,38.01300049,1,1,1,0,1,4.25,2,12,12,12,12,2.608534813,1444.988159,1,12,-0.128092289,0,0,0,0,12,12,0,0,0,0,-0.25,1,0,0,0,0,0
28,28,0,12,12,13.75043678,2.608534813,38.01300049,1,1,0,0,1,4.5,2,11.5,11.5,12,12,2.480442524,1444.988159,1,12,0.128092289,0,0,0,0,12,12,0,0,0,0,0.25,1,0,0,0,0,0
29,29,1,12,14,8.796128273,2.15733695,54.21240616,1,0,1,0,1,15.66666698,3,12,12,12,14,3.025309801,2938.984863,1,14,-0.867972851,-2,-2,-2,-2,13,13,-26,-26,0,0,-19.33333206,1,0,-2,-2,0,0
29,29,0,14,12,20.60939789,3.025309801,54.21240616,1,0,0,0,1,35,2.5,10.33333302,12,14,12,2.15733695,2938.984863,1,12,0.867972851,2,2,2,2,13,13,26,26,0,0,19.33333206,1,0,2,2,0,0
30,30,1,16,16,15.91409683,2.767205238,28.32305908,1,1,0,0,0,6,,14,14,16,16,2.658988714,802.1956787,0,16,0.108216524,0,0,0,0,16,16,0,0,-1,0,2,0,1,0,0,0,0
30,30,0,16,16,14.28184032,2.658988714,28.32305908,1,1,0,1,0,4,,12,14,16,16,2.767205238,802.1956787,0,16,-0.108216524,0,0,0,0,16,16,0,0,1,0,-2,0,1,0,0,0,0
31,31,0,12,13,7.426578522,2.005065203,29.86172485,1,1,0,0,1,1.5,,8,8,12,12,1.859213352,891.7225952,0,12.5,0.145851851,0,-1,-1,0,12.5,12,-12.5,0,0,0,-7,0,0,0,0,0,0
31,31,1,12,12,6.418685913,1.859213352,29.86172485,1,1,1,0,1,8.5,,12,12,13,12,2.005065203,891.7225952,0,12,-0.145851851,0,1,0,1,12,12.5,0,12.5,0,0,7,0,0,0,0,0,0
32,32,0,16,13.5,16.71084595,2.810973644,36.99281311,1,0,0,0,1,20,3,13,12,16,14,2.000337124,1368.468262,1,13.75,0.81063652,2,2.5,2.5,2,14.75,15,36.875,30,0,0,1,0,1,0,0,2.5,2
32,32,1,14,16,7.879538536,2.000337124,36.99281311,1,0,0,0,1,19,3,14,14,13.5,16,2.810973644,1368.468262,1,16,-0.81063652,-2,-2.5,-2,-2.5,15,14.75,-30,-36.875,0,0,-1,0,1,0,0,-2,-2.5
33,33,0,18,14,24.25005341,3.188418865,44.23271179,0,1,1,0,1,5,,12,12,16,18,3.788856506,1956.532837,0,16,-0.600437641,0,2,4,-2,16,17,64,-34,0,1,4,1,0,4,-2,0,0
33,33,1,18,16,44.20582581,3.788856506,44.23271179,0,1,0,0,0,1,,14,12,14,18,3.188418865,1956.532837,0,17,0.600437641,0,-2,2,-4,17,16,34,-64,0,-1,-4,1,0,2,-4,0,0
34,34,1,16,16,4.973155499,1.60405457,22.15467834,1,1,0,0,0,2,,12,12,16,16,1.470142007,490.8297729,0,16,0.133912563,0,0,0,0,16,16,0,0,0,0,1.875,1,0,0,0,0,0
34,34,0,16,16,4.349852562,1.470142007,22.15467834,1,1,0,0,0,0.125,,12,12,16,16,1.60405457,490.8297729,0,16,-0.133912563,0,0,0,0,16,16,0,0,0,0,-1.875,1,0,0,0,0,0
35,35,1,13,13,21.21879578,3.054887295,40.04927063,1,1,0,0,1,17,,12,12,13,13,3.151274681,1603.944092,0,13,-0.096387386,0,0,0,0,13,13,0,0,0,0,0,1,0,0,0,0,0
35,35,0,13,13,23.36583138,3.151274681,40.04927063,1,1,0,0,1,17,,12,12,13,13,3.054887295,1603.944092,0,13,0.096387386,0,0,0,0,13,13,0,0,0,0,0,1,0,0,0,0,0
36,36,0,15,15,102.0133362,4.625103474,53.66461182,1,0,1,0,1,19,,12,12,14,14,4.11427784,2879.890625,0,14.5,0.510825634,1,-1,0,0,15,14,0,0,0,0,12,1,0,0,0,0,0
36,36,1,14,14,61.208004,4.11427784,53.66461182,1,0,1,0,1,7,,12,12,15,15,4.625103474,2879.890625,0,14.5,-0.510825634,-1,1,0,0,14,15,0,0,0,0,-12,1,0,0,0,0,0
37,37,1,17,16,12.24154663,2.504835606,35.20054626,1,1,0,0,1,4,,14,14,16,16,3.054887295,1239.078491,0,16,-0.550051689,1,0,1,0,16.5,16,16.5,0,0,0,3.5,0,1,0,0,1,0
37,37,0,16,16,21.21879578,3.054887295,35.20054626,1,1,0,0,1,0.5,,12,13,16,17,2.504835606,1239.078491,0,16.5,0.550051689,-1,0,0,-1,16,16.5,0,-16.5,0,0,-3.5,0,1,0,0,0,-1
38,38,1,12,16,17.23751831,2.846972466,62.07905579,1,0,0,1,1,28.54999542,1,8,12,12,16,2.491389513,3853.809082,1,16,0.355582952,-4,-4,-4,-4,14,14,-56,-56,1,0,24.04999542,0,0,0,0,0,0
38,38,0,16,12,12.13087368,2.491389513,62.07905579,1,0,0,0,1,4.5,1,12,12,16,12,2.846972466,3853.809082,1,12,-0.355582952,4,4,4,4,14,14,56,56,-1,0,-24.04999542,0,0,0,0,0,0
39,39,0,12,12,7.652349472,1.985589027,38.10916901,1,0,0,0,1,8,3,11,12,12.5,12,1.825486422,1452.308716,1,12,0.160102606,0,0.5,0,0.5,12,12.25,0,6.125,0,0,6.825000286,1,0,0,0.5,0,0
39,39,1,12,12.5,6.251101494,1.825486422,38.10916901,1,0,0,0,1,1.174999714,3,11,12,12,12,1.985589027,1452.308716,1,12.25,-0.160102606,0,-0.5,-0.5,0,12.25,12,-6.125,0,0,0,-6.825000286,1,0,-0.5,0,0,0
40,40,0,18,18,34.84792328,3.55088377,52.9668045,1,0,1,0,0,11.5,1,18,14,18,18,3.748034477,2805.482422,1,18,-0.197150707,0,0,0,0,18,18,0,0,-1,-1,-16.5,0,1,0,0,0,0
40,40,1,18,18,42.43759155,3.748034477,52.93360901,1,0,0,1,1,28,,16,16,18,18,3.55088377,2801.967041,1,18,0.197150707,0,0,0,0,18,18,0,0,1,1,16.5,0,1,0,0,0,0
41,41,0,14,14,7.638766289,2.033236027,23.89047241,1,0,0,0,0,1,,12,12,14,14,2.310446978,570.7546997,0,14,-0.277210951,0,0,0,0,14,14,0,0,0,0,-1,1,0,0,0,0,0
41,41,1,14,14,10.07892799,2.310446978,23.89047241,1,0,0,0,0,2,,12,12,14,14,2.033236027,570.7546997,0,14,0.277210951,0,0,0,0,14,14,0,0,0,0,1,1,0,0,0,0,0
42,42,1,14.33333302,14,15.1541853,2.69229579,36.20282364,1,0,0.333333343,0,1,5.733333111,3,12,12,14,14,2.476657867,1310.644409,1,14,0.215637922,0.333333015,0,0.333333015,0,14.16666603,14,4.72221756,0,0,0,0.733333111,1,0,0.333333015,0,0,0
42,42,0,14,14,11.91654396,2.476657867,36.20282364,1,0,0.333333343,0,1,5,3,10.33333302,12,14,14.33333302,2.69229579,1310.644409,1,14.16666603,-0.215637922,-0.333333015,0,0,-0.333333015,14,14.16666603,0,-4.72221756,0,0,-0.733333111,1,0,0,-0.333333015,0,0
43,43,1,12,12,10.78814316,2.378397942,58.56639099,1,0,0,1,1,33.5,1,10,13,12,12,2.080337763,3430.022217,1,12,0.298060179,0,0,0,0,12,12,0,0,1,0,24,0,0,0,0,0,0
43,43,0,12,12,8.00805378,2.080337763,58.56639099,1,0,0,0,1,9.5,1,8,12,12,12,2.378397942,3430.022217,1,12,-0.298060179,0,0,0,0,12,12,0,0,-1,0,-24,0,0,0,0,0,0
44,44,0,15,13,15.91409683,2.767205238,63.71800232,1,0,0,1,1,39,,11,9,14,13,2.908841848,4059.983887,0,13,-0.14163661,2,1,2,1,14,13.5,28,13.5,0,0,-3,0,0,0,0,0,0
44,44,1,13,14,18.33555222,2.908841848,63.71800232,1,0,0,1,1,42,,11,8,13,15,2.767205238,4059.983887,0,14.5,0.14163661,-2,-1,-1,-2,13.5,14,-13.5,-28,0,0,3,0,0,0,0,0,0
45,45,1,16,18,14.85315704,2.698212385,42.08624268,1,0,1,0,1,4,,18,12,16,18,3.971178055,1771.251831,0,18,-1.27296567,-2,-2,-2,-2,17,17,-34,-34,0,0,-13,0,1,0,0,-2,-2
45,45,0,18,16,53.04698944,3.971178055,42.08624268,1,0,1,0,1,17,,16,12,18,16,2.698212385,1771.251831,0,16,1.27296567,2,2,2,2,17,17,34,34,0,0,13,0,1,0,0,2,2
46,46,0,12,12,13.59069157,2.609275341,61.6776123,1,0,0,0,1,13.5,7,10,8,12,12,2.962167501,3804.12793,1,12,-0.35289216,0,0,0,0,12,12,0,0,-1,0,-21.5,0,0,0,0,0,0
46,46,1,12,12,19.34774399,2.962167501,61.6776123,1,0,0,1,1,35,9,12,12,12,12,2.609275341,3804.12793,1,12,0.35289216,0,0,0,0,12,12,0,0,1,0,21.5,0,0,0,0,0,0
47,47,1,13,13,13.26174736,2.58488369,23.00067139,1,0,0,0,0,4.5,,11,10,12,14,2.698212385,529.0308838,0,13.5,-0.113328695,-1,-1,0,-2,13,13,0,-26,-1,0,3.5,0,0,0,0,0,0
47,47,0,14,12,14.85315704,2.698212385,23.00067139,1,0,0,1,0,1,,8,10,13,13,2.58488369,529.0308838,0,12.5,0.113328695,1,1,2,0,13,13,26,0,1,0,-3.5,0,0,0,0,0,0
48,48,0,14,14,5.999933243,1.789539933,20.29956627,1,0,0,0,0,0.927666664,3,16.66666603,16,14,14,1.598700166,412.0723877,1,14,0.190839767,0,0,0,0,14,14,0,0,0,0,0.688666642,0,1,0,0,0,0
48,48,1,14,14,5.207392216,1.598700166,20.29956627,1,0,0,0,0,0.239000008,3,16,16,14,14,1.789539933,412.0723877,1,14,-0.190839767,0,0,0,0,14,14,0,0,0,0,-0.688666642,0,1,0,0,0,0
49,49,0,18,18,4.988898754,1.577425003,24.8655014,1,0,0,0,0,0.208499998,2,16,16,18,18,1.668593049,618.2931519,1,18,-0.091168046,0,0,0,0,18,18,0,0,0,0,0.189500004,0,1,0,0,0,0
49,49,1,18,18,5.304698944,1.668593049,24.73100281,1,0,0,0,0,0.018999998,,16,16,18,18,1.577425003,611.6224976,1,18,0.091168046,0,0,0,0,18,18,0,0,0,0,-0.189500004,0,1,0,0,0,0
50,50,1,16,16,12.73127747,2.544061661,28.73648071,1,1,0,0,1,1,,16,12,16,16,2.544061661,825.7853394,0,16,0,0,0,0,0,16,16,0,0,0,0,-4,0,1,0,0,0,0
50,50,0,16,16,12.73127747,2.544061661,28.73648071,1,1,0,0,1,5,,16,10,16,16,2.544061661,825.7853394,0,16,0,0,0,0,0,16,16,0,0,0,0,4,0,1,0,0,0,0
51,51,0,12,12,11.13986778,2.410530329,56.47911072,1,1,0,0,1,7,,9,12,17,13,2.727979183,3189.889893,0,12.5,-0.317448854,-1,5,0,4,12,15,0,60,0,0,4.5,0,0,0,0,0,0
51,51,1,13,17,15.30193329,2.727979183,56.47911072,1,1,0,0,1,2.5,,9,12,12,12,2.410530329,3189.889893,0,14.5,0.317448854,1,-5,-4,0,15,12,-60,0,0,0,-4.5,0,0,0,0,0,0
52,52,0,13,14,12.73127747,2.544061661,61.47021484,1,1,0,0,1,25,,14,12,14,14,2.488372803,3778.587402,0,14,0.055688858,-1,0,-1,0,13.5,14,-13.5,0,0,0,3,0,1,0,0,-1,0
52,52,1,14,14,12.04166698,2.488372803,61.47021484,1,1,0,0,1,22,,16,10,14,13,2.544061661,3778.587402,0,13.5,-0.055688858,1,0,0,1,14,13.5,0,13.5,0,0,-3,0,1,0,0,0,1
53,53,1,18,18,20.55570984,3.023138762,42.12182617,1,1,0,1,1,19,,16,12,18,18,3.411562443,1774.248291,0,18,-0.388423681,0,0,0,0,18,18,0,0,0,0,-1,0,1,0,0,0,0
53,53,0,18,18,30.31256676,3.411562443,42.12182617,1,1,0,1,1,20,,16,12,18,18,3.023138762,1774.248291,0,18,0.388423681,0,0,0,0,18,18,0,0,0,0,1,0,1,0,0,0,0
54,54,1,15,14,17.67669868,2.871543169,34.24708939,1,0,1,0,1,8.333333015,2,8,8.666666985,14,13.33333302,2.564059496,1172.863159,1,13.66666603,0.307483673,1.666666985,0,1,0.666666985,14.5,13.66666603,14.5,9.111115456,0,0,3.666666508,0,0,0,0,0,0
54,54,0,13.33333302,14,12.99720955,2.564059496,34.24708939,1,0,0,0,1,4.666666508,2,8,10,14,15,2.871543169,1172.863159,1,14.5,-0.307483673,-1.666666985,0,-0.666666985,-1,13.66666603,14.5,-9.111115456,-14.5,0,0,-3.666666508,0,0,0,0,0,0
55,55,0,13,14,5.304698944,1.668593049,21.80422974,1,0,0,0,0,0.416999996,,14,12,12,13,1.808354974,475.4244385,0,13.5,-0.139761925,0,-2,-1,-1,13.5,12.5,-13.5,-12.5,0,0,-0.583000004,0,1,0,0,-1,-1
55,55,1,13,12,6.100403786,1.808354974,21.80422974,1,0,0,0,0,1,,16,12,14,13,1.668593049,475.4244385,0,12.5,0.139761925,0,2,1,1,12.5,13.5,12.5,13.5,0,0,0.583000004,0,1,0,0,1,1
56,56,1,12,12,11.67033768,2.457050323,39.35112,1,1,0,1,1,16,,12,12,12,12,2.457050323,1548.51062,0,12,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0
56,56,0,12,12,11.67033768,2.457050323,39.35112,1,1,0,1,1,16,,8,8,12,12,2.457050323,1548.51062,0,12,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0
57,57,0,18,18,8.862968445,2.16857338,24.80526733,1,0,0,0,0,1.583499908,1,14,12.5,18,18,2.057001591,615.3012695,1,18,0.111571789,0,0,0,0,18,18,0,0,0,0,0.499999881,1,0,0,0,0,0
57,57,1,18,18,7.833032608,2.057001591,24.80526733,1,0,0,0,0,1.083500028,1,13,12,18,18,2.16857338,615.3012695,1,18,-0.111571789,0,0,0,0,18,18,0,0,0,0,-0.499999881,1,0,0,0,0,0
58,58,0,14,16,19.40727425,2.954133034,31.7289505,1,1,0,0,1,7,3,12,13.5,14,16,3.242790699,1006.726318,1,16,-0.288657665,-2,-2,-2,-2,15,15,-30,-30,-1,0,-0.75,1,0,-2,-2,0,0
58,58,1,16,14,26.2134552,3.242790699,31.7289505,1,1,0,1,1,7.75,3,12,14,16,14,2.954133034,1006.726318,1,14,0.288657665,2,2,2,2,15,15,30,30,1,0,0.75,1,0,2,2,0,0
59,59,0,14,14,8.222283363,2.106848001,30.65296936,1,1,0,0,1,0.5,,12,12,13,13,2.005065203,939.6045532,0,13.5,0.101782799,1,-1,0,0,14,13,0,0,0,0,-0.333000004,1,0,0,0,0,0
59,59,1,13,13,7.426578522,2.005065203,30.65296936,1,1,0,0,1,0.833000004,,12,12,14,14,2.106848001,939.6045532,0,13.5,-0.101782799,-1,1,0,0,13,14,0,0,0,0,0.333000004,1,0,0,0,0,0
