"first","educ","educt","hrwage","lwage","age","white","female","selfemp","uncov","married","tenure","nsibs","daded","momed","educt_t","educ_t","lwage_t","age2","twoplus","aeduct","dlwage","deduc","deduct","dceduc","dceduct","cseduc","cseduct","dcsumint","dcsuminz","duncov","dmaried","dtenure","pedhs","pedcl","dcpedhs","dcpedhst","dcpedcl","dcpedclt"
,18,14,24.25005340576172,3.1884188652038574,44.23271179199219,0,1,1,0,1,5,,12,12,16,18,3.7888565063476562,1956.5328369140625,0,16,-0.6004376411437988,0,2,4,-2,16,17,64,-34,0,1,4,1,0,4,-2,0,0
1,18,16,44.20582580566406,3.7888565063476562,44.23271179199219,0,1,0,0,0,1,,14,12,14,18,3.1884188652038574,1956.5328369140625,0,17,0.6004376411437988,0,-2,2,-4,17,16,34,-64,0,-1,-4,1,0,2,-4,0,0
1,16,16,4.973155498504639,1.604054570198059,22.154678344726562,1,1,0,0,0,2,,12,12,16,16,1.4701420068740845,490.82977294921875,0,16,0.1339125633239746,0,0,0,0,16,16,0,0,0,0,1.875,1,0,0,0,0,0
,16,16,4.349852561950684,1.4701420068740845,22.154678344726562,1,1,0,0,0,0.125,,12,12,16,16,1.604054570198059,490.82977294921875,0,16,-0.1339125633239746,0,0,0,0,16,16,0,0,0,0,-1.875,1,0,0,0,0,0
1,13,13,21.218795776367188,3.054887294769287,40.04927062988281,1,1,0,0,1,17,,12,12,13,13,3.1512746810913086,1603.944091796875,0,13,-0.09638738632202148,0,0,0,0,13,13,0,0,0,0,0,1,0,0,0,0,0
,13,13,23.36583137512207,3.1512746810913086,40.04927062988281,1,1,0,0,1,17,,12,12,13,13,3.054887294769287,1603.944091796875,0,13,0.09638738632202148,0,0,0,0,13,13,0,0,0,0,0,1,0,0,0,0,0
,15,15,102.01333618164062,4.62510347366333,53.66461181640625,1,0,1,0,1,19,,12,12,14,14,4.1142778396606445,2879.890625,0,14.5,0.5108256340026855,1,-1,0,0,15,14,0,0,0,0,12,1,0,0,0,0,0
1,14,14,61.208003997802734,4.1142778396606445,53.66461181640625,1,0,1,0,1,7,,12,12,15,15,4.62510347366333,2879.890625,0,14.5,-0.5108256340026855,-1,1,0,0,14,15,0,0,0,0,-12,1,0,0,0,0,0
1,17,16,12.241546630859375,2.504835605621338,35.20054626464844,1,1,0,0,1,4,,14,14,16,16,3.054887294769287,1239.0784912109375,0,16,-0.5500516891479492,1,0,1,0,16.5,16,16.5,0,0,0,3.5,0,1,0,0,1,0
,16,16,21.218795776367188,3.054887294769287,35.20054626464844,1,1,0,0,1,0.5,,12,13,16,17,2.504835605621338,1239.0784912109375,0,16.5,0.5500516891479492,-1,0,0,-1,16,16.5,0,-16.5,0,0,-3.5,0,1,0,0,0,-1
1,12,16,17.237518310546875,2.8469724655151367,62.07905578613281,1,0,0,1,1,28.54999542236328,1,8,12,12,16,2.491389513015747,3853.80908203125,1,16,0.35558295249938965,-4,-4,-4,-4,14,14,-56,-56,1,0,24.04999542236328,0,0,0,0,0,0
,16,12,12.130873680114746,2.491389513015747,62.07905578613281,1,0,0,0,1,4.5,1,12,12,16,12,2.8469724655151367,3853.80908203125,1,12,-0.35558295249938965,4,4,4,4,14,14,56,56,-1,0,-24.04999542236328,0,0,0,0,0,0
,12,12,7.652349472045898,1.9855890274047852,38.109169006347656,1,0,0,0,1,8,3,11,12,12.5,12,1.825486421585083,1452.3087158203125,1,12,0.16010260581970215,0,0.5,0,0.5,12,12.25,0,6.125,0,0,6.825000286102295,1,0,0,0.5,0,0
1,12,12.5,6.251101493835449,1.825486421585083,38.109169006347656,1,0,0,0,1,1.174999713897705,3,11,12,12,12,1.9855890274047852,1452.3087158203125,1,12.25,-0.16010260581970215,0,-0.5,-0.5,0,12.25,12,-6.125,0,0,0,-6.825000286102295,1,0,-0.5,0,0,0
,18,18,34.847923278808594,3.5508837699890137,52.96680450439453,1,0,1,0,0,11.5,1,18,14,18,18,3.7480344772338867,2805.482421875,1,18,-0.19715070724487305,0,0,0,0,18,18,0,0,-1,-1,-16.5,0,1,0,0,0,0
1,18,18,42.437591552734375,3.7480344772338867,52.93360900878906,1,0,0,1,1,28,,16,16,18,18,3.5508837699890137,2801.967041015625,1,18,0.19715070724487305,0,0,0,0,18,18,0,0,1,1,16.5,0,1,0,0,0,0
,14,14,7.638766288757324,2.033236026763916,23.890472412109375,1,0,0,0,0,1,,12,12,14,14,2.3104469776153564,570.7546997070312,0,14,-0.27721095085144043,0,0,0,0,14,14,0,0,0,0,-1,1,0,0,0,0,0
1,14,14,10.078927993774414,2.3104469776153564,23.890472412109375,1,0,0,0,0,2,,12,12,14,14,2.033236026763916,570.7546997070312,0,14,0.27721095085144043,0,0,0,0,14,14,0,0,0,0,1,1,0,0,0,0,0
1,14.333333015441895,14,15.15418529510498,2.692295789718628,36.202823638916016,1,0,0.3333333432674408,0,1,5.733333110809326,3,12,12,14,14,2.4766578674316406,1310.6444091796875,1,14,0.2156379222869873,0.33333301544189453,0,0.33333301544189453,0,14.166666030883789,14,4.722217559814453,0,0,0,0.7333331108093262,1,0,0.33333301544189453,0,0,0
,14,14,11.916543960571289,2.4766578674316406,36.202823638916016,1,0,0.3333333432674408,0,1,5,3,10.333333015441895,12,14,14.333333015441895,2.692295789718628,1310.6444091796875,1,14.166666030883789,-0.2156379222869873,-0.33333301544189453,0,0,-0.33333301544189453,14,14.166666030883789,0,-4.722217559814453,0,0,-0.7333331108093262,1,0,0,-0.33333301544189453,0,0
1,12,12,10.788143157958984,2.3783979415893555,58.56639099121094,1,0,0,1,1,33.5,1,10,13,12,12,2.0803377628326416,3430.022216796875,1,12,0.29806017875671387,0,0,0,0,12,12,0,0,1,0,24,0,0,0,0,0,0
,12,12,8.00805377960205,2.0803377628326416,58.56639099121094,1,0,0,0,1,9.5,1,8,12,12,12,2.3783979415893555,3430.022216796875,1,12,-0.29806017875671387,0,0,0,0,12,12,0,0,-1,0,-24,0,0,0,0,0,0
,15,13,15.91409683227539,2.767205238342285,63.71800231933594,1,0,0,1,1,39,,11,9,14,13,2.908841848373413,4059.98388671875,0,13,-0.14163661003112793,2,1,2,1,14,13.5,28,13.5,0,0,-3,0,0,0,0,0,0
1,13,14,18.335552215576172,2.908841848373413,63.71800231933594,1,0,0,1,1,42,,11,8,13,15,2.767205238342285,4059.98388671875,0,14.5,0.14163661003112793,-2,-1,-1,-2,13.5,14,-13.5,-28,0,0,3,0,0,0,0,0,0
1,16,18,14.853157043457031,2.6982123851776123,42.08624267578125,1,0,1,0,1,4,,18,12,16,18,3.9711780548095703,1771.2518310546875,0,18,-1.272965669631958,-2,-2,-2,-2,17,17,-34,-34,0,0,-13,0,1,0,0,-2,-2
,18,16,53.04698944091797,3.9711780548095703,42.08624267578125,1,0,1,0,1,17,,16,12,18,16,2.6982123851776123,1771.2518310546875,0,16,1.272965669631958,2,2,2,2,17,17,34,34,0,0,13,0,1,0,0,2,2
,12,12,13.590691566467285,2.6092753410339355,61.6776123046875,1,0,0,0,1,13.5,7,10,8,12,12,2.962167501449585,3804.1279296875,1,12,-0.3528921604156494,0,0,0,0,12,12,0,0,-1,0,-21.5,0,0,0,0,0,0
1,12,12,19.34774398803711,2.962167501449585,61.6776123046875,1,0,0,1,1,35,9,12,12,12,12,2.6092753410339355,3804.1279296875,1,12,0.3528921604156494,0,0,0,0,12,12,0,0,1,0,21.5,0,0,0,0,0,0
1,13,13,13.261747360229492,2.584883689880371,23.00067138671875,1,0,0,0,0,4.5,,11,10,12,14,2.6982123851776123,529.0308837890625,0,13.5,-0.11332869529724121,-1,-1,0,-2,13,13,0,-26,-1,0,3.5,0,0,0,0,0,0
,14,12,14.853157043457031,2.6982123851776123,23.00067138671875,1,0,0,1,0,1,,8,10,13,13,2.584883689880371,529.0308837890625,0,12.5,0.11332869529724121,1,1,2,0,13,13,26,0,1,0,-3.5,0,0,0,0,0,0
,14,14,5.999933242797852,1.7895399332046509,20.2995662689209,1,0,0,0,0,0.9276666641235352,3,16.66666603088379,16,14,14,1.5987001657485962,412.0723876953125,1,14,0.1908397674560547,0,0,0,0,14,14,0,0,0,0,0.6886666417121887,0,1,0,0,0,0
1,14,14,5.20739221572876,1.5987001657485962,20.2995662689209,1,0,0,0,0,0.23900000751018524,3,16,16,14,14,1.7895399332046509,412.0723876953125,1,14,-0.1908397674560547,0,0,0,0,14,14,0,0,0,0,-0.6886666417121887,0,1,0,0,0,0
,18,18,4.988898754119873,1.5774250030517578,24.865501403808594,1,0,0,0,0,0.2084999978542328,2,16,16,18,18,1.6685930490493774,618.2931518554688,1,18,-0.09116804599761963,0,0,0,0,18,18,0,0,0,0,0.18950000405311584,0,1,0,0,0,0
1,18,18,5.304698944091797,1.6685930490493774,24.731002807617188,1,0,0,0,0,0.018999997526407242,,16,16,18,18,1.5774250030517578,611.6224975585938,1,18,0.09116804599761963,0,0,0,0,18,18,0,0,0,0,-0.18950000405311584,0,1,0,0,0,0
1,16,16,12.731277465820312,2.5440616607666016,28.736480712890625,1,1,0,0,1,1,,16,12,16,16,2.5440616607666016,825.7853393554688,0,16,0,0,0,0,0,16,16,0,0,0,0,-4,0,1,0,0,0,0
,16,16,12.731277465820312,2.5440616607666016,28.736480712890625,1,1,0,0,1,5,,16,10,16,16,2.5440616607666016,825.7853393554688,0,16,0,0,0,0,0,16,16,0,0,0,0,4,0,1,0,0,0,0
,12,12,11.139867782592773,2.4105303287506104,56.47911071777344,1,1,0,0,1,7,,9,12,17,13,2.7279791831970215,3189.889892578125,0,12.5,-0.31744885444641113,-1,5,0,4,12,15,0,60,0,0,4.5,0,0,0,0,0,0
1,13,17,15.301933288574219,2.7279791831970215,56.47911071777344,1,1,0,0,1,2.5,,9,12,12,12,2.4105303287506104,3189.889892578125,0,14.5,0.31744885444641113,1,-5,-4,0,15,12,-60,0,0,0,-4.5,0,0,0,0,0,0
,13,14,12.731277465820312,2.5440616607666016,61.47021484375,1,1,0,0,1,25,,14,12,14,14,2.488372802734375,3778.58740234375,0,14,0.05568885803222656,-1,0,-1,0,13.5,14,-13.5,0,0,0,3,0,1,0,0,-1,0
1,14,14,12.041666984558105,2.488372802734375,61.47021484375,1,1,0,0,1,22,,16,10,14,13,2.5440616607666016,3778.58740234375,0,13.5,-0.05568885803222656,1,0,0,1,14,13.5,0,13.5,0,0,-3,0,1,0,0,0,1
1,18,18,20.555709838867188,3.0231387615203857,42.121826171875,1,1,0,1,1,19,,16,12,18,18,3.411562442779541,1774.248291015625,0,18,-0.3884236812591553,0,0,0,0,18,18,0,0,0,0,-1,0,1,0,0,0,0
,18,18,30.31256675720215,3.411562442779541,42.121826171875,1,1,0,1,1,20,,16,12,18,18,3.0231387615203857,1774.248291015625,0,18,0.3884236812591553,0,0,0,0,18,18,0,0,0,0,1,0,1,0,0,0,0
1,15,14,17.676698684692383,2.8715431690216064,34.24708938598633,1,0,1,0,1,8.333333015441895,2,8,8.666666984558105,14,13.333333015441895,2.5640594959259033,1172.8631591796875,1,13.666666030883789,0.3074836730957031,1.6666669845581055,0,1,0.6666669845581055,14.5,13.666666030883789,14.5,9.111115455627441,0,0,3.6666665077209473,0,0,0,0,0,0
